noc_title,exposed_to_disease_infections,median_hourly_wage,physical_proximity,pop,occupation_type
8421 Chain saw and skidder operators,0.0125,22.94,0.0725,415,Other
5121 Authors and writers,0,27.69,0.14,4900,Other
8431 General farm workers,0.0125,16,0.235,10665,Other
8611 Harvesting labourers,0.0125,14,0.235,1415,Other
"9235 Pulping, papermaking and coating control operators",0.125,24.68,0.2925,785,Other
9435 Paper converting machine operators,0.125,24.43,0.2925,1785,Other
"9614 Labourers in wood, pulp and paper processing",0.125,18.5,0.2925,2970,Other
7322 Motor vehicle body repairers,0.03,20.67,0.3075,6945,Other
4162 Economists and economic policy researchers and analysts,0.01,43.94,0.3125,6745,Other
"8211 Supervisors, logging and forestry",0.0275,26,0.32,290,Other
5241 Graphic designers and illustrators,0,24.02,0.3375,8220,Other
5244 Artisans and craftspersons,0.02,17,0.34,1835,Other
1121 Human resources professionals,0.12,35.16,0.3425,19590,Other
1223 Human resources and recruitment officers,0.12,28.85,0.3425,10325,Other
1432 Payroll administrators,0.07,26,0.37,8590,Other
1454 Survey interviewers and statistical clerks,0,21,0.37,1880,Other
4163 Business development officers and marketing researchers and consultants,0,35.9,0.375,20030,Other
5225 Audio and video recording technicians,0.0075,28.18,0.38,1285,Other
1221 Administrative officers,0.08,23.76,0.3875,65030,Other
1222 Executive assistants,0.08,29.31,0.3875,11250,Other
8432 Nursery and greenhouse workers,0.01,15.78,0.39,760,Other
1225 Purchasing agents and officers,0.0475,28.57,0.3925,10395,Other
0113 Purchasing managers,0.03,42.05,0.395,6810,Other
0421 Administrators - post-secondary education and vocational training,0.08,48.08,0.395,220,Other
2113 Geoscientists and oceanographers,0.065,43.23,0.395,995,Other
"2161 Mathematicians, statisticians and actuaries",0.01,42,0.395,5150,Other
4211 Paralegal and related occupations,0.01,28.85,0.4,14090,Other
"4161 Natural and applied science policy researchers, consultants and program officers",0.035,41.03,0.4025,5390,Other
0213 Computer and information systems managers,0.0125,53.37,0.4075,23895,Other
0112 Human resources managers,0.1025,44.1,0.41,13855,Other
2144 Geological engineers,0.065,35.1,0.41,100,Other
7622 Railway and motor transport labourers,0.15,19,0.41,660,Other
1122 Professional occupations in business management consulting,0.02,37.4,0.4125,32700,Other
1313 Insurance underwriters,0,31.79,0.4125,7170,Other
0731 Managers in transportation,0.1125,39.9,0.415,11480,Other
7511 Transport truck drivers,0.0725,20.2,0.415,80445,Other
6731 Light duty cleaners,0.515,15,0.4175,73370,Sales & Service
"4412 Home support workers, housekeepers and related occupations",0.515,16.5,0.4175,23030,Other
4168 Program officers unique to government,0,41.25,0.42,2230,Other
7381 Printing press operators,0.0025,22,0.4225,1990,Other
0211 Engineering managers,0.0325,50.51,0.425,5315,Other
0212 Architecture and science managers,0.0325,48.72,0.425,2175,Other
2121 Biologists and related scientists,0.275,37,0.425,4475,Other
"7334 Motorcycle, all-terrain vehicle and other related mechanics",0,28.48,0.4275,810,Other
"1452 Correspondence, publication and regulatory clerks",0.025,22,0.43,5365,Other
"8252 Agricultural service contractors, farm supervisors and specialized livestock workers",0.0725,16.93,0.43,1025,Other
6231 Insurance agents and brokers,0.0275,25.96,0.4325,24435,Sales & Service
"0013 Senior managers - financial, communications and other business services",0.18,52.08,0.4325,21410,Other
"0014 Senior managers - health, education, social and community services and membership organizations",0.18,53.46,0.4325,3385,Other
"0015 Senior managers - trade, broadcasting and other services, n.e.c.",0.18,56.37,0.4325,11560,Other
"0016 Senior managers - construction, transportation, production and utilities",0.18,57.03,0.4325,16960,Other
"1113 Securities agents, investment dealers and brokers",0,29.74,0.4325,7675,Other
2175 Web designers and developers,0.01,33.65,0.4375,8235,Other
2212 Geological and mineral technologists and technicians,0.0375,25.77,0.4375,545,Other
1311 Accounting technicians and bookkeepers,0.0425,22.14,0.4425,33775,Other
1431 Accounting and related clerks,0.0425,21,0.4425,42335,Other
2147 Computer engineers (except software engineers and designers),0,43.27,0.4425,7990,Other
2234 Construction estimators,0.0225,28.13,0.4425,6015,Other
"9442 Weavers, knitters and other fabric making occupations",0.0425,15,0.4425,855,Other
2173 Software engineers and designers,0,45.67,0.445,22770,Other
2142 Metallurgical and materials engineers,0.02,40.87,0.4475,465,Other
0114 Other administrative services managers,0.2325,34.04,0.45,7995,Other
0311 Managers in health care,0.34,45,0.45,10785,Other
